laboratorio,proveedor,cum,descripcion,precio,iva_pct,principio_activo
GENFAR,GENFAR,19908960-11,ACETAMINOFEN+CAFEINA,292.0,,ACETAMINOFE 500mg +CAFEINA 65mg x 48 TAB
GENFAR,GENFAR,53560-05,PARACETAMOL,50.0,,ACETAMINOFEN 500mg CJx100 TAB-INS
GENFAR,GENFAR,56604-01,ACETATO DE ALUMINIO,4254.0,,ACETATO DE ALUMINIO pH4.5 X 120 mL INST
GENFAR,GENFAR,19946928-01,ACETATO DE ALUMINIO,447.0,,ACETATO DE ALUMINIO POLVO X 25 SOBRES
GENFAR,GENFAR,19924189-04,ACICLOVIR,135.0,,ACICLOVIR 200mg CJx25 TAB-INS
GENFAR,GENFAR,57693-02,ACICLOVIR,2604.0,,ACICLOVIR 5% UNGUENTO TOPICO TBx15g-CO
GENFAR,GENFAR,51715-02,ACICLOVIR,491.0,,ACICLOVIR 800mg CJx10 TAB-INS
GENFAR,GENFAR,19936296-11,ACIDO ACETILSALICÍLICO,29.0,,ACIDO ACETILSALI 100mg CJ X900 COMP INST
GENFAR,GENFAR,11697-02,ACIDO FUSIDICO,3834.0,,ACIDO FUSIDICO 2% CREMA TBx15g-INS
GENFAR,GENFAR,33439-02,ALBENDAZOL,1389.0,,ALBENDAZOL 100mg/5mL SUSP FCOx20mL-INS
GENFAR,GENFAR,37619-02,ALBENDAZOL,265.0,,ALBENDAZOL 200mg CJx2TAB-INS
GENFAR,GENFAR,227600-01,ALPRAZOLAM,53.0,,"ALPRAZOLAM 0,5 mg CAJA X 30 COMP INS"
GENFAR,GENFAR,17144-09,AMITRIPTILINA,31.0,,AMITRIPTILINA 25 mg CAJA X 300 COMP INST
GENFAR,GENFAR,55894-14,AMLODIPINO,40.0,,AMLODIPINO 10mg CJx300 TAB-INS (M.RED)
GENFAR,GENFAR,55895-06,AMLODIPINO,16.0,,AMLODIPINO 5mg CJx300 TAB-INS (M.RED)
GENFAR,GENFAR,20133790-01,AMOXICILINA + CLAVULANATO,12299.0,,AMOXICILINA + CLAVULANATO SUS 70ML COL
GENFAR,GENFAR,35816-13,AMOXICILINA,283.0,,AMOXICILINA 500mg CJx50 CAP-INS-SF
GENFAR,GENFAR,20216035-01,AMOXICILINA,1056.0,,AMOXICILINA 875mg CJx14 TAB-CO-SF
GENFAR,GENFAR,19925209-01,ATORVASTATIN,69.0,,ATORVASTATINA 10mg x 100 COMP
GENFAR,GENFAR,19928399-39,ATORVASTATIN,76.0,,ATORVASTATINA 20mg X 300 COMP
GENFAR,GENFAR,19962943-15,ATORVASTATINA CALCICA,144.0,,ATORVASTATINA 40mg x 150 COMP INS
GENFAR,GENFAR,11701-01,AZITROMICINA,6623.0,,AZITROMICINA 200mg/5mL PPS FCOx15mL-INS
GENFAR,GENFAR,11700-06,AZITROMICINA,1210.0,,AZITROMICINA 500MG CJX12 TAB REC-INS
GENFAR,GENFAR,20115176-01,BETAHISTINA,294.0,,BETAHISTINA 16 mg CJ X 20 COMP
GENFAR,GENFAR,20115177-01,BETAHISTINA,386.0,,BETAHISTINA 24 mg CJ X 20 COMP
GENFAR,GENFAR,19932135-01,BETAMETASONA,2822.0,,BETAMETA DIPRO+CLOTRIM+NEOM TBx20g-INS
GENFAR,GENFAR,19932135-02,BETAMETASONA,3990.0,,BETAMETA DIPRO+CLOTRIM+NEOM TBx40g-INS
GENFAR,GENFAR,45688-01,BETAMETASONA,3030.0,,"BETAMETASONA 0,05% CREMA TBx40g-INS"
GENFAR,GENFAR,19915569-02,BETAMETASONA,3466.0,,"BETAMETASONA 0,1% CREMA TBx40g-INS"
GENFAR,GENFAR,19946107-05,BETAMETASONA,930.0,,BETAMETASONA 8mg/2mL INY CJx10 AMP-CO
GENFAR,GENFAR,20096371-25,BISOPROLOL,346.0,,BISOPROLOL 5mg CJx30 TAB-CO
GENFAR,GENFAR,227603-01,BROMAZEPAM,248.0,,BROMAZEPAM 6 mg CAJA X 10 COMP
