proveedor,laboratorio,cum,descripcion,precio,iva,principio_activo
LAFRACOL,LAFRACOL,,"ACIX POLVOSUSP600mg-42,9mg/5mLx100mL-ENT",58605.0,,"AMOXICILINA BASE 12g; ACIDO CLAVULANICO 0,85800g"
LAFRACOL,LAFRACOL,,ACODEIN 325/30mg X 30 TAB-USO,210.0,,ACETAMINOFEN 325 mg; CODEINA FOSFATO 30mg
LAFRACOL,LAFRACOL,,"ALECRIX 0,25% SOL OFT EST x5mL-ENT",93598.0,,ALCAFTADINA 2.5mg/mL
LAFRACOL,LAFRACOL,,ALERCARE 2 mg/mL FCO x 10mL-ENT,72998.0,,OLOPATADINA 2 mg/mL
LAFRACOL,LAFRACOL,,"ALERCARE PLUS 0,7% FCO x5mL-ENT",76956.0,,"OLOPATADINA BASE 7,0mg"
LAFRACOL,LAFRACOL,,ALERXY®1MG/ML SLNNASAL ESTERIL140DOS-ENT,84867.0,,AZELASTINA CLORHIDRATO 1 mg/mL
LAFRACOL,LAFRACOL,,ALODIL 25mg x 30 TAB-ENT,2886.0,,AGOMELATINA 25 mg
LAFRACOL,LAFRACOL,,AMDIPIN 5 mg x 30 TAB-ENT,5203.0,,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO
LAFRACOL,LAFRACOL,,AMDIPIN H 10/25 mg x 10 TAB-ENT,11023.0,,AMLODIPINO BESILATO EQV. 10mg AMLODIPINO; HIDROCLOROTIAZIDA 25 mg
LAFRACOL,LAFRACOL,,AMDIPIN H 5/12.5 mg x 10 TAB-ENT,7824.0,,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO; HIDROCLOROTIAZIDA 12.5 mg
LAFRACOL,LAFRACOL,,ANTISS D SOL ORAL x 60 mL-ENT,25896.0,,LEVOCETIRIZINA DICLORHIDRATO 0.05g/100mL; FENILEFRINA CLORHIDRATO 0.100 g/100 mL
LAFRACOL,LAFRACOL,,ANTISS JBE x 100 mL-ENT,16089.0,,LEVOCETIRIZINA DICLORHIDRATO 0.05g/100mL
LAFRACOL,LAFRACOL,,ATTENTHO 25 mg x 30 CAP-ENT,7756.0,,ATOMOXETINA HCL EQV. A ATOMOXETINA 25 mg
LAFRACOL,LAFRACOL,,ATTENTHO 40 mg x 30 CAP-ENT,12379.0,,ATOMOXETINA HCL EQV. A ATOMOXETINA 40 mg
LAFRACOL,LAFRACOL,,ATTENTHO 60 mg x 30 CAP-ENT,12148.0,,ATOMOXETINA HCL EQV. A ATOMOXETINA 60 mg
LAFRACOL,LAFRACOL,,BELLAFACE SUAVE 2/0.02 MG 28 TAB-ENT,474.0,,DIENOGEST 2 mg; ETINILESTRADIOL 20 mcg
LAFRACOL,LAFRACOL,,BELLAFACE x 21 TAB-ENT,632.0,,DIENOGEST 2 mg; ETINILESTRADIOL 0.03 mg
LAFRACOL,LAFRACOL,,BEMERIN FCO x120 ML,111245.0,,"FUROATO DE MOMETASONA 0.1g/100 mL; ACIDO SALICILICO 1,5g/100mL"
LAFRACOL,LAFRACOL,,BEMERIN FCO x60 ML,91181.0,,"FUROATO DE MOMETASONA 0.1g/100 mL; ACIDO SALICILICO 1,5g/100mL"
LAFRACOL,LAFRACOL,,BIOGAIA + VIT D FCO x 5mL,73209.0,,LACTOBACILLUS REUTERI; VITAMINA D3
LAFRACOL,LAFRACOL,,BIOGAIA FRASCO X 5ML,60222.0,,N/A SUPLEMENTO DIETARIO
LAFRACOL,LAFRACOL,,BIOGAIA FRASCO x10mL,97763.0,,N/A SUPLEMENTO DIETARIO
LAFRACOL,LAFRACOL,,BIOGAIA GTI x30 TAB,3497.0,,LACTOBACILLUS REUTERI
LAFRACOL,LAFRACOL,,BIOGAIA x 30 TAB MASTICABLES,2880.0,,N/A SUPLEMENTO DIETARIO
LAFRACOL,LAFRACOL,,BIOLAX GRANULADO 5 g x 12 SOB-ENT,3055.0,,PSYLLIUM HUSK POLVO 70 g
LAFRACOL,LAFRACOL,,BIOLAX GRANULADO PTE x 340g-ENT,58765.0,,PSYLLIUM HUSK POLVO 70 g
LAFRACOL,LAFRACOL,,BISBACTER 262mg x48 TAB-ENT,1656.0,,SUBSALICILATO DE BISMUTO 262 mg
LAFRACOL,LAFRACOL,,BISBACTER SUSP FCO x 120mL,28394.0,,SUBSALICILATO DE BISMUTO 1.7g/100 mL
LAFRACOL,LAFRACOL,,BONDIGEST 10 mg x 30 TAB-ENT,3294.0,,MOSAPRIDA CITRATO 10 mg
LAFRACOL,LAFRACOL,,BRIA 42 MCG x15ml-ENT,53650.0,,BROMURO DE IPRATROPIO 0.06g/100mL
LAFRACOL,LAFRACOL,,BROCRIPTIN 10/5mg x30 TAB MAST-ENT,3728.0,,MONTELUKAST MONOS EQV MONTELUKAST 10mg; LEVOCETIRIZINA DICLORHIDRATO 5 mg
LAFRACOL,LAFRACOL,,"BROCRIPTIN 5/2,5mg x30 TAB MAST-ENT",3291.0,,MONTELUKAST MONOS EQV MONTELUKAST 5 mg; LEVOCETIRIZINA DICLORHIDRATO 2.5 mg
LAFRACOL,LAFRACOL,,CANDAM 10/16 mg x 30 TAB-ENT,4663.0,,AMLODIPINO BESILATO EQV. 10mg AMLODIPINO; CANDESARTAN CILEXETILO 16 mg
LAFRACOL,LAFRACOL,,CANDAM 5/16 mg x 30 TAB-ENT,2179.0,,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO; CANDESARTAN CILEXETILO 16 mg
LAFRACOL,LAFRACOL,,CAPRIMIDA D 315 mg x 30 TAB-ENT,1381.0,,CALCIO 315mg; VITAMINA D 200 UI
LAFRACOL,LAFRACOL,,CARDIOL 12.5mg x30 TAB-ENT,1943.0,,"CLORTALIDONA 12,5 mg"
LAFRACOL,LAFRACOL,,CARDIOL 25mg x30 TAB-ENT,2068.0,,CLORTALIDONA 25 mg
LAFRACOL,LAFRACOL,,CARDIOMAX 10 mg x 20 TAB-ENT,8128.0,,ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg
LAFRACOL,LAFRACOL,,CARDIOMAX 20 mg x 20 TAB-ENT,9039.0,,ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg
LAFRACOL,LAFRACOL,,CARDIOMAX 40 mg x 10 TAB-ENT,19533.0,,ROSUVASTATIN CALC EQV ROSUVASTATINA 40mg
LAFRACOL,LAFRACOL,,CARDIOMAX PLUS 10/10 mg x 28 TAB-ENT,5869.0,,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 10mg
LAFRACOL,LAFRACOL,,CARDIOMAX PLUS 10/20 mg x 28 TAB-ENT,7817.0,,EZETIMIBA MICRONIZADO 10 mg; ROSUVASTATIN CALC EQV ROSUVASTATINA 20mg
LAFRACOL,LAFRACOL,,CETIRAX 10 mg MAST x 10 TAB-ENT,4437.0,,CETIRIZINA DICLORHIDRATO 10 mg
LAFRACOL,LAFRACOL,,CETIRAX GOT x 15mL-ENT,44165.0,,CETIRIZINA DICLORHIDRATO 10 mg/mL
LAFRACOL,LAFRACOL,,CETIRAX JBE x 60mL-ENT,41100.0,,CETIRIZINA DICLORHIDRATO 0.1 g/100 mL
