proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct,motivo
DISFARMA,BOGOTA,SIEGFRIED,19979471-06,OLANZAPINA 10MG TAB CX30 (MEFLAX) - SIEGFRIED,4740,OLANZAPINA,129045.0,Circular 19 de 2024,0.036731372776938276,-124305.0,-96.32686272230617,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,CALI,SIEGFRIED,19979471-06,OLANZAPINA 10MG TAB CX30 (MEFLAX) - SIEGFRIED,4740,OLANZAPINA,129045.0,Circular 19 de 2024,0.036731372776938276,-124305.0,-96.32686272230617,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,GIRON,SIEGFRIED,19979471-06,OLANZAPINA 10MG TAB CX30 (MEFLAX) - SIEGFRIED,4740,OLANZAPINA,129045.0,Circular 19 de 2024,0.036731372776938276,-124305.0,-96.32686272230617,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,BOGOTA,FAES FARMA,19993161-08,ESTROGENOS CONJUGADOS 0.625MG/G CREM VAG TUBX43G+APLIC CX1 (FEVENY) - FAES FARMA,27150,ESTROGENOS CONJUGADOS,10967.1625,Circular 19 de 2024,2.475571963121728,16182.8375,147.5571963121728,SUPERA_REGULADO
DISFARMA,CALI,FAES FARMA,19993161-08,ESTROGENOS CONJUGADOS 0.625MG/G CREM VAG TUBX43G+APLIC CX1 (FEVENY) - FAES FARMA,27150,ESTROGENOS CONJUGADOS,10967.1625,Circular 19 de 2024,2.475571963121728,16182.8375,147.5571963121728,SUPERA_REGULADO
DISFARMA,GIRON,FAES FARMA,19993161-08,ESTROGENOS CONJUGADOS 0.625MG/G CREM VAG TUBX43G+APLIC CX1 (FEVENY) - FAES FARMA,27150,ESTROGENOS CONJUGADOS,10967.1625,Circular 19 de 2024,2.475571963121728,16182.8375,147.5571963121728,SUPERA_REGULADO
DISFARMA,BOGOTA,SYNTHESIS,20015394-06,ATOMOXETINA 40MG CAP CX30 (ATTENTHO) - SYNTHESIS,409500,ATOMOXETINA,139700.0,Circular 19 de 2024,2.931281317108089,269800.0,193.12813171080887,SUPERA_REGULADO
DISFARMA,GIRON,SYNTHESIS,20015394-06,ATOMOXETINA 40MG CAP CX30 (ATTENTHO) - SYNTHESIS,409500,ATOMOXETINA,139700.0,Circular 19 de 2024,2.931281317108089,269800.0,193.12813171080887,SUPERA_REGULADO
DISFARMA,BOGOTA,CLOSTER PHARMA,20049458-04,LEVOAMLODIPINO+VALSARTAN 2.5MG+80MG TAB CX30 (ALENCAL VALS) - CLOSTER PHARMA,80790,LEVOAMLODIPINO+VALSARTAN,27888.0,Circular 19 de 2024,2.8969449225473323,52902.0,189.69449225473323,SUPERA_REGULADO
DISFARMA,CALI,CLOSTER PHARMA,20049458-04,LEVOAMLODIPINO+VALSARTAN 2.5MG+80MG TAB CX30 (ALENCAL VALS) - CLOSTER PHARMA,80790,LEVOAMLODIPINO+VALSARTAN,27888.0,Circular 19 de 2024,2.8969449225473323,52902.0,189.69449225473323,SUPERA_REGULADO
DISFARMA,GIRON,CLOSTER PHARMA,20049458-04,LEVOAMLODIPINO+VALSARTAN 2.5MG+80MG TAB CX30 (ALENCAL VALS) - CLOSTER PHARMA,80790,LEVOAMLODIPINO+VALSARTAN,27888.0,Circular 19 de 2024,2.8969449225473323,52902.0,189.69449225473323,SUPERA_REGULADO
DISFARMA,BOGOTA,PROCAPS,20059036-01,ACIDO ZOLEDRONICO 4MG/5ML SOL INY VIALX5ML CX1 (ZOCLAST) - PROCAPS,15534,ACIDO ZOLEDRONICO,561596.04,Circular 19 de 2024,0.027660451451901262,-546062.04,-97.23395485480988,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,CALI,PROCAPS,20059036-01,ACIDO ZOLEDRONICO 4MG/5ML SOL INY VIALX5ML CX1 (ZOCLAST) - PROCAPS,15534,ACIDO ZOLEDRONICO,561596.04,Circular 19 de 2024,0.027660451451901262,-546062.04,-97.23395485480988,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,GIRON,PROCAPS,20059036-01,ACIDO ZOLEDRONICO 4MG/5ML SOL INY VIALX5ML CX1 (ZOCLAST) - PROCAPS,15534,ACIDO ZOLEDRONICO,561596.04,Circular 19 de 2024,0.027660451451901262,-546062.04,-97.23395485480988,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,BOGOTA,HETERO,20064698-01,BORTEZOMIB 3.5MG POL INY VIAL CX1 (BORTEN) - HETERO,79167,BORTEZOMIB,2590865.375,Circular 19 de 2024,0.030556199779388383,-2511698.375,-96.94438002206115,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,CALI,HETERO,20064698-01,BORTEZOMIB 3.5MG POL INY VIAL CX1 (BORTEN) - HETERO,79167,BORTEZOMIB,2590865.375,Circular 19 de 2024,0.030556199779388383,-2511698.375,-96.94438002206115,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,GIRON,HETERO,20064698-01,BORTEZOMIB 3.5MG POL INY VIAL CX1 (BORTEN) - HETERO,79167,BORTEZOMIB,2590865.375,Circular 19 de 2024,0.030556199779388383,-2511698.375,-96.94438002206115,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,BOGOTA,CLOSTER PHARMA,20075496-03,LEVOAMLODIPINO+VALSARTAN 2.5MG+160MG TAB CX30 (ALENCAL VALS) - CLOSTER PHARMA,89940,LEVOAMLODIPINO+VALSARTAN,55776.0,Circular 19 de 2024,1.6125215146299483,34164.0,61.25215146299484,SUPERA_REGULADO
DISFARMA,CALI,CLOSTER PHARMA,20075496-03,LEVOAMLODIPINO+VALSARTAN 2.5MG+160MG TAB CX30 (ALENCAL VALS) - CLOSTER PHARMA,89940,LEVOAMLODIPINO+VALSARTAN,55776.0,Circular 19 de 2024,1.6125215146299483,34164.0,61.25215146299484,SUPERA_REGULADO
DISFARMA,GIRON,CLOSTER PHARMA,20075496-03,LEVOAMLODIPINO+VALSARTAN 2.5MG+160MG TAB CX30 (ALENCAL VALS) - CLOSTER PHARMA,89940,LEVOAMLODIPINO+VALSARTAN,55776.0,Circular 19 de 2024,1.6125215146299483,34164.0,61.25215146299484,SUPERA_REGULADO
DISFARMA,GIRON,MEGALABS,20113625-05,AMBRISENTAN 10MG TAB CX30 (BRISEN) - MEGALABS,641130,AMBRISENTAN,12885996.0,Circular 19 de 2024,0.049754012029803514,-12244866.0,-95.02459879701965,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,BOGOTA,LKM S.A.,20115046-02,LENALIDOMIDA 15MG CAP CX21 (LADEVINA) - LKM S.A.,466200,LENALIDOMIDA,18559217.25,Circular 19 de 2024,0.02511959387726872,-18093017.25,-97.48804061227312,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,CALI,LKM S.A.,20115046-02,LENALIDOMIDA 15MG CAP CX21 (LADEVINA) - LKM S.A.,466200,LENALIDOMIDA,18559217.25,Circular 19 de 2024,0.02511959387726872,-18093017.25,-97.48804061227312,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,GIRON,LKM S.A.,20115046-02,LENALIDOMIDA 15MG CAP CX21 (LADEVINA) - LKM S.A.,466200,LENALIDOMIDA,18559217.25,Circular 19 de 2024,0.02511959387726872,-18093017.25,-97.48804061227312,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,BOGOTA,LKM S.A.,20115047-02,LENALIDOMIDA 5MG CAP CX21 (LADEVINA) - LKM S.A.,425250,LENALIDOMIDA,18281487.0,Circular 19 de 2024,0.023261236900477517,-17856237.0,-97.67387630995225,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,CALI,LKM S.A.,20115047-02,LENALIDOMIDA 5MG CAP CX21 (LADEVINA) - LKM S.A.,425250,LENALIDOMIDA,18281487.0,Circular 19 de 2024,0.023261236900477517,-17856237.0,-97.67387630995225,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
DISFARMA,GIRON,LKM S.A.,20115047-02,LENALIDOMIDA 5MG CAP CX21 (LADEVINA) - LKM S.A.,425250,LENALIDOMIDA,18281487.0,Circular 19 de 2024,0.023261236900477517,-17856237.0,-97.67387630995225,RATIO_SOSPECHOSO_FUERA_RANGO_5_100
