proveedor,centro_distribucion,laboratorio,cum,descripcion,precio_proveedor,principio_activo,precio_maximo_venta,circular_origen,ratio_precio_vs_regulado,diferencia_valor,diferencia_pct,motivo
DISFARMA,CALI,ANGLOPHARMA,35595-04,ACETAMINOFEN 150MG/5ML (3%) JBE FCOX120ML CX1 (AMETREX) - ANGLOPHARMA,5280,ACETAMINOFEN,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,GIRON,PROCAPS,46000-04,ACETAMINOFEN 500MG CAP CX60 (DOLOFEN) - PROCAPS,14100,ACETAMINOFEN,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,BOGOTA,PROCAPS,46000-04,ACETAMINOFEN 500MG CAP CX60 (DOLOFEN) - PROCAPS,14100,ACETAMINOFEN,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,GIRON,NEVOX FARMA,20179336-01,ACETAMINOFEN+CAFEINA+CETIRIZINA+FENILEFRINA 500MG+30MG+5MG+10MG CAP CX100 (ATHENGRIPP) - NEVOX FARMA,46100,ACETAMINOFEN+CAFEINA+CETIRIZINA+FENILEFRINA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,CALI,NEVOX FARMA,20179336-01,ACETAMINOFEN+CAFEINA+CETIRIZINA+FENILEFRINA 500MG+30MG+5MG+10MG CAP CX100 (ATHENGRIPP) - NEVOX FARMA,46100,ACETAMINOFEN+CAFEINA+CETIRIZINA+FENILEFRINA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,BOGOTA,NEVOX FARMA,20179336-01,ACETAMINOFEN+CAFEINA+CETIRIZINA+FENILEFRINA 500MG+30MG+5MG+10MG CAP CX100 (ATHENGRIPP) - NEVOX FARMA,46100,ACETAMINOFEN+CAFEINA+CETIRIZINA+FENILEFRINA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,BOGOTA,SIEGFRIED,58027-10,ACETAMINOFEN+CODEINA 325MG+15MG TAB CX100 (ALGIMIDE) - SIEGFRIED,11500,ACETAMINOFEN+CODEINA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,BOGOTA,NOVAMED,19931776-12,ACETAMINOFEN+CODEINA 325MG+30MG TAB CX20 (APRIX-F) - NOVAMED,3840,ACETAMINOFEN+CODEINA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,GIRON,HUMAN BIOSCIENCE,20157042-01,ACETAMINOFEN+OXICODONA 325MG+20MG TAB CX28 (DEPALGOS) - HUMAN BIOSCIENCE,241052,ACETAMINOFEN+OXICODONA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,GIRON,HUMAN BIOSCIENCE,20113513-01,ACETAMINOFEN+OXICODONA 325MG+5MG TAB CX28 (DEPALGOS) - HUMAN BIOSCIENCE,39760,ACETAMINOFEN+OXICODONA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,CALI,HUMAN BIOSCIENCE,20113513-01,ACETAMINOFEN+OXICODONA 325MG+5MG TAB CX28 (DEPALGOS) - HUMAN BIOSCIENCE,39760,ACETAMINOFEN+OXICODONA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
DISFARMA,BOGOTA,HUMAN BIOSCIENCE,20113513-01,ACETAMINOFEN+OXICODONA 325MG+5MG TAB CX28 (DEPALGOS) - HUMAN BIOSCIENCE,39760,ACETAMINOFEN+OXICODONA,,,,,,REGLA_BASE_INVALIDA_CUM_PRECIO_STOCK_TIPO
