laboratorio,proveedor,cum,descripcion,precio,principio_activo,precio_maximo_venta,circular_origen,diferencia_valor,diferencia_pct
ASTRAZENECA COLOMBIA SAS,CRUZ VERDE,19901250-15,BETALOC ZOK 200MG TAB LIB PROL CAJ X 30,2.47,METOPROLOL SUCCINATO,74100.0,Circular 19 de 2024,-74097.53,-99.99666666666667
NOVARTIS DE COLOMBIA SA,CRUZ VERDE,19908545-13,TRILEPTAL 600MG TAB REC INST CAJ X 30,1.386,OXCARBAZEPINA,41580.0,Circular 19 de 2024,-41578.614,-99.99666666666667
NOVO NORDISK COLOMBIA S A S,CRUZ VERDE,19910693-11,NOVORAPID 100UI/ML SOL INY VIAL X 10ML,78.26,INSULINA ASPARTATO,80680.0,Circular 19 de 2024,-80601.74,-99.90299950421418
SANOFI AVENTIS DE COLOMBIA SA,CRUZ VERDE,19914312-20,LANTUS SOLOSTAR PEN 300UI/3ML(100UI/ML) SOL INY CAJ X 1PEN X 3ML,38.34,INSULINA GLARGINA,38340.0,Circular 19 de 2024,-38301.66,-99.9
ADIUM SAS,CRUZ VERDE,19916203-11,LUTAMIDAL 150MG TAB REC CAJ X 28,5.276,BICALUTAMIDA,383124.0,Circular 19 de 2024,-383118.724,-99.99862290015766
TECNOQUIMICAS SA,CRUZ VERDE,19933487-11,CLOPIDOGREL 75MG TAB REC INST CAJ X 150 MK,578.0,CLOPIDOGREL,231075.0,Circular 19 de 2024,-230497.0,-99.74986476252299
MEGALABS COLOMBIA SAS,CRUZ VERDE,19946412-16,OLAZAP 10MG TAB REC INST CAJ X 30,279.0,OLANZAPINA,129045.0,Circular 19 de 2024,-128766.0,-99.78379635011044
LABORATORIO FRANCO COLOMBIANO LAFRANCOL SAS,CRUZ VERDE,19946883-22,NOFERTYL (5+50)MG/ML SOL INY CAJ X 1AMP,9.015,ESTRADIOL+NORESTISTERONA (NORETINDRONA),9015.5,Circular 19 de 2024,-9006.485,-99.90000554600411
LABORATORIO FRANCO COLOMBIANO LAFRANCOL SAS,CRUZ VERDE,19946883-25,NOFERTYL (5+50)MG/ML SOL INY INST CAJ X 24AMP X 1ML,5.131,ESTRADIOL+NORESTISTERONA (NORETINDRONA),216372.0,Circular 19 de 2024,-216366.869,-99.99762862107852
PROCAPS SA,CRUZ VERDE,19950452-49,CLENOX 80MG/0.8ML(100MG/ML) SOL INY CAJ X 1JERPREL,26.129,ENOXAPARINA,26129.6,Circular 19 de 2024,-26103.470999999998,-99.9000022962464
PROCAPS SA,CRUZ VERDE,19950452-88,CLENOX 60MG/0.6ML(100MG/ML) SOL INY CAJ X 1JERPREL,19.597,ENOXAPARINA,19597.2,Circular 19 de 2024,-19577.603,-99.90000102055396
SANOFI AVENTIS DE COLOMBIA SA,CRUZ VERDE,19950479-19,APIDRA SOLOSTAR 300UI/3ML(100UI/ML) SOL INY CAJ X 1PEN X 3ML,24.072,INSULINA GLULISINA,24072.0,Circular 19 de 2024,-24047.928,-99.9
ASPEN COLOMBIANA SAS,CRUZ VERDE,19953202-19,LYRICA 75MG CAP INST CAJ X 14,1.117,PREGABALINA,23341.5,Circular 19 de 2024,-23340.383,-99.99521453205664
PFIZER SAS,CRUZ VERDE,19954950-10,OLMETEC 40MG TAB REC INST CAJ X 30,1.77,OLMESARTAN,53460.0,Circular 19 de 2024,-53458.23,-99.99668911335579
TECNOQUIMICAS SA,CRUZ VERDE,19988137-11,MODUALZ 10MG TAB REC INST CAJ X 300,278.0,MEMANTINA CLORHIDRATO,644070.0,Circular 19 de 2024,-643792.0,-99.95683698976819
TECNOQUIMICAS SA,CRUZ VERDE,19995113-15,QUETIAPINA 25MG TAB REC INST CAJ X 300 MK,179.0,QUETIAPINA,167925.0,Circular 19 de 2024,-167746.0,-99.89340479380677
TECNOQUIMICAS SA,CRUZ VERDE,19996348-14,QUETIAPINA 300MG TAB REC INST CAJ X 300 MK,1.187,QUETIAPINA,2015100.0,Circular 19 de 2024,-2015098.813,-99.99994109473475
MEGALABS COLOMBIA SAS,CRUZ VERDE,20001671-12,VALCOX 10MG TAB REC INST CAJ X 30,541.0,MEMANTINA CLORHIDRATO,64407.0,Circular 19 de 2024,-63866.0,-99.16002918937382
MEGALABS COLOMBIA SAS,CRUZ VERDE,20007895-10,CEUMID 1000MG TAB REC INST CAJ X 30,968.0,LEVETIRACETAM,88200.0,Circular 19 de 2024,-87232.0,-98.90249433106575
TECNOQUIMICAS SA,CRUZ VERDE,20008409-15,IRBESARTAN 300MG TAB REC INST CAJ X 14 MK,1.117,IRBESARTAN,20874.0,Circular 19 de 2024,-20872.883,-99.99464884545368
TECNOQUIMICAS SA,CRUZ VERDE,20008502-11,IRBESARTAN 150MG TAB REC INST CAJ X 14 MK,534.0,IRBESARTAN,10437.0,Circular 19 de 2024,-9903.0,-94.88358723771199
TECNOQUIMICAS SA,CRUZ VERDE,20010048-12,IRBESARTAN HCT (25+300)MG TAB REC CAJ X14 MK,1.238,HIDROCLOROTIAZIDA+IRBESARTAN,28392.0,Circular 19 de 2024,-28390.762,-99.99563961679347
MEGALABS COLOMBIA SAS,CRUZ VERDE,20015007-11,ALACIR 30MG TAB LIB RET INST CAJ X 30,838.0,DULOXETINA,40176.0,Circular 19 de 2024,-39338.0,-97.91417761847869
MEGALABS COLOMBIA SAS,CRUZ VERDE,20015009-11,ALACIR 60MG TAB LIB RET INST CAJ X 30,1.053,DULOXETINA,80352.0,Circular 19 de 2024,-80350.947,-99.99868951612903
