laboratorio,proveedor,cum,descripcion,precio,principio_activo,precio_maximo_venta,circular_origen,diferencia_valor,diferencia_pct,motivo,ratio_precio_vs_regulado
LAFRACOL,LAFRACOL,0,"ACIX POLVOSUSP600mg-42,9mg/5mLx100mL-ENT",58605.0,"AMOXICILINA BASE 12g; ACIDO CLAVULANICO 0,85800g",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ACODEIN 325/30mg X 30 TAB-USO,210.0,ACETAMINOFEN 325 mg; CODEINA FOSFATO 30mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,"ALECRIX 0,25% SOL OFT EST x5mL-ENT",93598.0,ALCAFTADINA 2.5mg/mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ALERCARE 2 mg/mL FCO x 10mL-ENT,72998.0,OLOPATADINA 2 mg/mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,"ALERCARE PLUS 0,7% FCO x5mL-ENT",76956.0,"OLOPATADINA BASE 7,0mg",,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ALERXY®1MG/ML SLNNASAL ESTERIL140DOS-ENT,84867.0,AZELASTINA CLORHIDRATO 1 mg/mL,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,ALODIL 25mg x 30 TAB-ENT,2886.0,AGOMELATINA 25 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,AMDIPIN 5 mg x 30 TAB-ENT,5203.0,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,AMDIPIN H 10/25 mg x 10 TAB-ENT,11023.0,AMLODIPINO BESILATO EQV. 10mg AMLODIPINO; HIDROCLOROTIAZIDA 25 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
LAFRACOL,LAFRACOL,0,AMDIPIN H 5/12.5 mg x 10 TAB-ENT,7824.0,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO; HIDROCLOROTIAZIDA 12.5 mg,,,,,CUM_INVALIDO_O_PRECIO_INVALIDO,
