cum,precio_maximo_venta
20041743-1,2720735.0
20041743-2,2720735.0
20041743-3,2720735.0
20041743-4,2720735.0
19976227-1,1360367.5
20169597-14,834868.2
20169597-6,834868.2
20169597-13,1669736.4
20169597-5,1669736.4
20169597-10,1669736.4
20169597-12,1669736.4
20169597-16,1669736.4
20169597-2,1669736.4
20169597-4,1669736.4
20169597-8,1669736.4
20169597-1,3339472.8
20169597-11,3339472.8
20169597-15,3339472.8
20169597-3,3339472.8
20169597-7,3339472.8
20169597-9,3339472.8
20137041-1,834868.2
20149227-3,834868.2
20149227-9,834868.2
20149227-1,1669736.4
20149227-2,1669736.4
20149227-7,1669736.4
20149227-8,1669736.4
20149227-10,3339472.8
20149227-4,3339472.8
20149227-11,6678945.6
20149227-5,6678945.6
20149227-12,10018418.4
20149227-6,10018418.4
20108951-10,1669736.4
20108951-9,1669736.4
20108951-1,3339472.8
20108951-2,3339472.8
20108951-3,3339472.8
20108951-4,3339472.8
20108951-5,3339472.8
20108951-6,3339472.8
20108951-7,3339472.8
20108951-8,3339472.8
19939766-2,1669736.4
19939766-3,1669736.4
19939766-1,3339472.8
19939766-4,3339472.8
19939766-5,3339472.8
19939766-6,3339472.8
19939766-7,3339472.8
19939766-8,3339472.8
19939766-9,3339472.8
20175556-2,1669736.4
20175556-4,3339472.8
20175556-5,3339472.8
20175556-1,1669736.4
20177223-10,1669736.4
20177223-11,1669736.4
20177223-13,1669736.4
20177223-14,1669736.4
20177223-6,1669736.4
20177223-12,1669736.4
20177223-15,1669736.4
20177223-7,1669736.4
20177223-8,1669736.4
20177223-9,1669736.4
20177223-2,3339472.8
20177223-3,3339472.8
20177223-4,10018418.4
20177223-5,10018418.4
20177223-1,1669736.4
20178300-1,2087170.5
20209185-1,1669736.4
20209185-10,1669736.4
20209185-6,1669736.4
20209185-11,3339472.8
20209185-2,3339472.8
20209185-7,3339472.8
20209185-12,6678945.6
20209185-3,6678945.6
20209185-8,6678945.6
20209185-13,10018418.4
20209185-4,10018418.4
20209185-9,10018418.4
20066634-2,1980325.2
20066634-1,3960650.4
20066634-3,7921300.8
20093590-1,2970487.8
20093590-2,5940975.6
20093590-3,11881951.2
20093591-1,3960650.4
20093591-2,7921300.8
20093591-3,15842601.6
20093592-1,4950813.0
20093592-2,9901626.0
20093592-3,19803252.0
20039088-1,3270627.63
20039088-10,3270627.63
20039088-3,3270627.63
20039088-5,3270627.63
20039088-7,3270627.63
20039088-2,1941199.85
20039088-4,1941199.85
20039088-6,1941199.85
20039088-8,1941199.85
20039088-9,1941199.85
20039088-11,2082378.03
20039088-12,2082378.03
20104104-1,103440.0
20120093-4,6896.0
20120093-5,17240.0
20120093-2,6896.0
20120093-1,103440.0
20120093-3,17240.0
20100055-1,48272.0
20100055-2,96544.0
20100055-3,103440.0
20100055-4,6896.0
20014920-10,344800.0
20014920-8,344800.0
20014920-2,48272.0
20014920-3,96544.0
20014920-4,144816.0
20014920-5,193088.0
20014920-1,24136.0
20014920-11,24136.0
20014920-9,24136.0
20014920-6,289632.0
20014920-7,337904.0
20067976-1,28247149.8
201941-1,13237.0
19908750-2,13237.0
19908750-4,13237.0
19908750-3,39711.0
19908750-5,39711.0
19908750-1,6618.5
20097020-1,739578.03
20097020-3,739578.03
20097020-2,1479156.06
20097020-4,1479156.06
20097020-5,739578.03
20117604-1,739578.03
20117604-3,739578.03
20117604-2,1479156.06
20117604-4,1479156.06
16232-1,27147.8
19954356-1,54295.6
19954356-2,54295.6
19954356-3,54295.6
19954356-4,54295.6
229585-1,13573.9
19979978-1,231300.0
20124772-3,231300.0
20124772-4,231300.0
20124772-1,2313000.0
20124772-2,1156500.0
19910741-1,1156500.0
20028530-1,231300.0
20028530-4,23130000.0
20028530-2,5782500.0
20028530-3,11565000.0
20039895-1,46260.0
20093133-12,9252.0
27612-1,1156500.0
20256489-1,1156500.0
20007880-1,146207.72
20007880-2,146207.72
33103-1,3655193.0
33103-2,3655193.0
20194011-1,12885996.0
20194009-1,6442998.0
20187632-2,8590664.0
20187632-3,12885996.0
20187632-4,38657988.0
20187632-1,4295332.0
20187752-2,4295332.0
20187752-3,6442998.0
20187752-4,19328994.0
20187752-1,2147666.0
20135959-1,4295332.0
20135959-7,4295332.0
20135959-4,859066.4
20135959-2,8590664.0
20135959-3,12885996.0
20135959-5,1718132.8
20135959-6,2577199.2
20135956-1,2147666.0
20135956-7,2147666.0
20135956-4,429533.2
20135956-2,4295332.0
20135956-3,6442998.0
20135956-5,859066.4
20135956-6,1288599.6
20113625-2,4295332.0
20113625-3,4295332.0
20113625-6,4295332.0
20113625-7,4295332.0
20113625-1,12885996.0
20113625-4,12885996.0
20113625-5,12885996.0
20113625-8,12885996.0
20113625-9,1718132.8
20113623-2,2147666.0
20113623-4,2147666.0
20113623-1,6442998.0
20113623-3,6442998.0
20113623-5,859066.4
20151852-1,4295332.0
20151852-3,4295332.0
20151852-2,12885996.0
20151854-1,2147666.0
20151854-3,2147666.0
20151854-2,6442998.0
20121385-1,4295332.0
20121385-2,12885996.0
20121384-1,2147666.0
20121384-2,6442998.0
20140495-1,12885996.0
20140491-1,6442998.0
20200038-4,51543984.0
20200038-2,25771992.0
20200038-3,38657988.0
20200038-1,1288599.6
20199803-4,25771992.0
20199803-2,12885996.0
20199803-3,19328994.0
20199803-1,644299.8
20001582-1,12885996.0
20001582-2,12885996.0
20001583-1,6442998.0
20001583-2,6442998.0
20151852-4,4295332.0
20151852-6,4295332.0
20151852-5,12885996.0
20151854-4,2147666.0
20151854-6,2147666.0
20151854-5,6442998.0
20060001-1,39630.0
19933951-1,138705.0
19933951-7,138705.0
19933951-8,138705.0
19933951-9,138705.0
19933951-2,27741.0
19933951-6,277410.0
19933951-3,55482.0
19933951-4,83223.0
19933951-5,110964.0
20043022-1,138705.0
35134-2,21620.0
35134-5,43240.0
35134-4,8648.0
35134-3,21620.0
35134-1,43240.0
228320-5,5405.0
228320-6,10810.0
228320-7,16215.0
228320-4,2162.0
228320-2,5405.0
228320-1,10810.0
228320-3,16215.0
20047794-1,60780.0
20047794-2,121560.0
20047794-3,182340.0
20038017-1,170184.0
20038017-2,182340.0
