cum,precio_maximo_venta,circular_origen
20155607-1,,Circular 19 de 2023
20148436-1,,Circular 19 de 2023
20148436-2,,Circular 19 de 2023
20178599-1,,Circular 19 de 2023
20120942-1,,Circular 19 de 2023
20120942-5,,Circular 19 de 2023
20120942-2,,Circular 19 de 2023
20120942-3,,Circular 19 de 2023
20120942-4,,Circular 19 de 2023
20146583-2,,Circular 19 de 2023
20146583-1,,Circular 19 de 2023
20128309-2,,Circular 19 de 2023
20128309-1,,Circular 19 de 2023
20128309-3,,Circular 19 de 2023
20154993-1,,Circular 19 de 2023
20154993-2,,Circular 19 de 2023
20137931-1,,Circular 19 de 2023
20116619-1,,Circular 19 de 2023
20116619-2,,Circular 19 de 2023
20149212-1,,Circular 19 de 2023
20036026-1,,Circular 19 de 2023
20036026-2,,Circular 19 de 2023
20105885-1,,Circular 19 de 2023
20105885-2,,Circular 19 de 2023
20115120-1,,Circular 19 de 2023
19945134-1,,Circular 19 de 2023
19945134-5,,Circular 19 de 2023
19945134-9,,Circular 19 de 2023
19945134-11,,Circular 19 de 2023
19945134-2,,Circular 19 de 2023
19945134-6,,Circular 19 de 2023
19945134-7,,Circular 19 de 2023
19945134-3,,Circular 19 de 2023
19945134-4,,Circular 19 de 2023
19945134-8,,Circular 19 de 2023
19945134-10,,Circular 19 de 2023
224996-1,,Circular 19 de 2023
224907-1,,Circular 19 de 2023
19970364-1,,Circular 19 de 2023
46741-1,,Circular 19 de 2023
224995-1,,Circular 19 de 2023
20064603-1,,Circular 19 de 2023
19936621-1,,Circular 19 de 2023
1980647-1,,Circular 19 de 2023
49064-1,,Circular 19 de 2023
38239-2,,Circular 19 de 2023
38239-4,,Circular 19 de 2023
38239-1,,Circular 19 de 2023
38239-3,,Circular 19 de 2023
28855-1,,Circular 19 de 2023
28855-2,,Circular 19 de 2023
28855-3,,Circular 19 de 2023
28855-4,,Circular 19 de 2023
60033-1,,Circular 19 de 2023
20167840-1,,Circular 19 de 2023
20167839-1,,Circular 19 de 2023
20187332-3,,Circular 19 de 2023
20187332-2,,Circular 19 de 2023
20187332-1,,Circular 19 de 2023
20160351-3,,Circular 19 de 2023
20160351-1,,Circular 19 de 2023
20160351-2,,Circular 19 de 2023
20030187-2,,Circular 19 de 2023
20030187-5,,Circular 19 de 2023
20030187-10,,Circular 19 de 2023
20030187-3,,Circular 19 de 2023
20030187-6,,Circular 19 de 2023
20030187-8,,Circular 19 de 2023
20030187-9,,Circular 19 de 2023
20030187-1,,Circular 19 de 2023
20030187-4,,Circular 19 de 2023
20030187-7,,Circular 19 de 2023
19934559-1,,Circular 19 de 2023
19930447-1,,Circular 19 de 2023
19928855-1,,Circular 19 de 2023
19928855-7,,Circular 19 de 2023
19928855-6,,Circular 19 de 2023
19928855-2,,Circular 19 de 2023
19928855-3,,Circular 19 de 2023
19928855-4,,Circular 19 de 2023
19928855-5,,Circular 19 de 2023
20118262-1,,Circular 19 de 2023
20118262-3,,Circular 19 de 2023
20118262-2,,Circular 19 de 2023
20118262-4,,Circular 19 de 2023
20020551-1,,Circular 19 de 2023
19951417-1,,Circular 19 de 2023
19928338-1,,Circular 19 de 2023
19928338-4,,Circular 19 de 2023
19928338-2,,Circular 19 de 2023
19928338-5,,Circular 19 de 2023
19928338-3,,Circular 19 de 2023
19928338-6,,Circular 19 de 2023
49884-2,,Circular 19 de 2023
49884-3,,Circular 19 de 2023
49884-4,,Circular 19 de 2023
19942301-1,,Circular 19 de 2023
20049028-2,,Circular 19 de 2023
19953822-1,,Circular 19 de 2023
20049028-1,,Circular 19 de 2023
19953822-2,,Circular 19 de 2023
20090693-1,,Circular 19 de 2023
20090693-2,,Circular 19 de 2023
20090693-3,,Circular 19 de 2023
20001982-2,,Circular 19 de 2023
20001982-4,,Circular 19 de 2023
20001982-1,,Circular 19 de 2023
20001982-3,,Circular 19 de 2023
20115318-1,,Circular 19 de 2023
20115318-4,,Circular 19 de 2023
20115318-2,,Circular 19 de 2023
20115318-3,,Circular 19 de 2023
20115318-5,,Circular 19 de 2023
20115318-6,,Circular 19 de 2023
20176603-4,,Circular 19 de 2023
20176603-2,,Circular 19 de 2023
20176603-3,,Circular 19 de 2023
20176603-1,,Circular 19 de 2023
20175536-1,,Circular 19 de 2023
20175536-2,,Circular 19 de 2023
20175536-3,,Circular 19 de 2023
20106812-4,,Circular 19 de 2023
20106812-8,,Circular 19 de 2023
20106812-12,,Circular 19 de 2023
20106812-9,,Circular 19 de 2023
20106812-10,,Circular 19 de 2023
20106812-13,,Circular 19 de 2023
20106812-1,,Circular 19 de 2023
20106812-5,,Circular 19 de 2023
20106812-11,,Circular 19 de 2023
20106812-14,,Circular 19 de 2023
20106812-2,,Circular 19 de 2023
20106812-6,,Circular 19 de 2023
20106812-3,,Circular 19 de 2023
20106812-7,,Circular 19 de 2023
20104380-31,,Circular 19 de 2023
20104380-12,,Circular 19 de 2023
20104380-15,,Circular 19 de 2023
20104380-16,,Circular 19 de 2023
20104380-19,,Circular 19 de 2023
20104380-10,,Circular 19 de 2023
20104380-11,,Circular 19 de 2023
20104380-7,,Circular 19 de 2023
20104380-2,,Circular 19 de 2023
20104380-13,,Circular 19 de 2023
20104380-17,,Circular 19 de 2023
20104380-3,,Circular 19 de 2023
20104380-8,,Circular 19 de 2023
20104380-14,,Circular 19 de 2023
20104380-4,,Circular 19 de 2023
20104380-18,,Circular 19 de 2023
20104380-5,,Circular 19 de 2023
20104380-9,,Circular 19 de 2023
20104380-20,,Circular 19 de 2023
20104380-6,,Circular 19 de 2023
20104380-28,,Circular 19 de 2023
20104380-1,,Circular 19 de 2023
20104380-21,,Circular 19 de 2023
20104380-27,,Circular 19 de 2023
20104380-22,,Circular 19 de 2023
20104380-29,,Circular 19 de 2023
20104380-23,,Circular 19 de 2023
20104380-30,,Circular 19 de 2023
20104380-24,,Circular 19 de 2023
20104380-25,,Circular 19 de 2023
20104380-26,,Circular 19 de 2023
20090583-4,,Circular 19 de 2023
20090583-2,,Circular 19 de 2023
20090583-3,,Circular 19 de 2023
20090583-1,,Circular 19 de 2023
20118776-1,,Circular 19 de 2023
19994136-4,,Circular 19 de 2023
19994136-5,,Circular 19 de 2023
19994136-2,,Circular 19 de 2023
19994136-6,,Circular 19 de 2023
19994136-3,,Circular 19 de 2023
19994136-1,,Circular 19 de 2023
20136846-2,,Circular 19 de 2023
20136846-1,,Circular 19 de 2023
20138343-1,,Circular 19 de 2023
20138343-5,,Circular 19 de 2023
20138343-2,,Circular 19 de 2023
20138343-3,,Circular 19 de 2023
20138343-4,,Circular 19 de 2023
208707-2,,Circular 19 de 2023
208707-3,,Circular 19 de 2023
208707-1,,Circular 19 de 2023
20139028-1,,Circular 19 de 2023
20139028-2,,Circular 19 de 2023
20010499-1,,Circular 19 de 2023
20010499-4,,Circular 19 de 2023
20010499-7,,Circular 19 de 2023
20010499-2,,Circular 19 de 2023
20010499-5,,Circular 19 de 2023
20010499-3,,Circular 19 de 2023
20010499-6,,Circular 19 de 2023
20041746-1,,Circular 19 de 2023
20041746-2,,Circular 19 de 2023
20058380-2,,Circular 19 de 2023
20058380-1,,Circular 19 de 2023
19955791-1,,Circular 19 de 2023
20148959-1,,Circular 19 de 2023
20148959-2,,Circular 19 de 2023
20023212-1,,Circular 19 de 2023
20111685-2,,Circular 19 de 2023
20111685-3,,Circular 19 de 2023
20111685-1,,Circular 19 de 2023
20020941-1,,Circular 19 de 2023
20020941-4,,Circular 19 de 2023
20020941-3,,Circular 19 de 2023
20020941-2,,Circular 19 de 2023
19951126-1,,Circular 19 de 2023
19951125-1,,Circular 19 de 2023
20026600-1,,Circular 19 de 2023
20026600-2,,Circular 19 de 2023
20048078-1,,Circular 19 de 2023
20088924-1,,Circular 19 de 2023
19936182-1,,Circular 19 de 2023
19763-1,,Circular 19 de 2023
19763-10,,Circular 19 de 2023
19763-11,,Circular 19 de 2023
19763-3,,Circular 19 de 2023
19763-4,,Circular 19 de 2023
19763-6,,Circular 19 de 2023
19763-7,,Circular 19 de 2023
19763-9,,Circular 19 de 2023
19763-2,,Circular 19 de 2023
19763-5,,Circular 19 de 2023
19763-8,,Circular 19 de 2023
19991074-1,,Circular 19 de 2023
19991074-10,,Circular 19 de 2023
19991074-11,,Circular 19 de 2023
19991074-12,,Circular 19 de 2023
19991074-13,,Circular 19 de 2023
19991074-14,,Circular 19 de 2023
19991074-15,,Circular 19 de 2023
19991074-16,,Circular 19 de 2023
19991074-3,,Circular 19 de 2023
19991074-4,,Circular 19 de 2023
19991074-5,,Circular 19 de 2023
19991074-6,,Circular 19 de 2023
19991074-8,,Circular 19 de 2023
19991074-9,,Circular 19 de 2023
19991074-2,,Circular 19 de 2023
19991074-7,,Circular 19 de 2023
19979757-1,,Circular 19 de 2023
20124774-3,,Circular 19 de 2023
20124774-4,,Circular 19 de 2023
20124774-2,,Circular 19 de 2023
20124774-1,,Circular 19 de 2023
19926427-1,,Circular 19 de 2023
20093133-1,,Circular 19 de 2023
20093133-11,,Circular 19 de 2023
20093133-6,,Circular 19 de 2023
20093133-10,,Circular 19 de 2023
20093133-5,,Circular 19 de 2023
20093133-2,,Circular 19 de 2023
20093133-7,,Circular 19 de 2023
20093133-3,,Circular 19 de 2023
20093133-8,,Circular 19 de 2023
20093133-4,,Circular 19 de 2023
20093133-9,,Circular 19 de 2023
8879-01-01 00:00:00,27147.8,Circular 19 de 2023
8879-02-01 00:00:00,27147.8,Circular 19 de 2023
20077315-2,,Circular 19 de 2023
20077315-8,,Circular 19 de 2023
20077315-3,,Circular 19 de 2023
20077315-4,,Circular 19 de 2023
20077315-9,,Circular 19 de 2023
20077315-1,,Circular 19 de 2023
20077315-7,,Circular 19 de 2023
20077315-5,,Circular 19 de 2023
20077315-6,,Circular 19 de 2023
20056337-2,,Circular 19 de 2023
20056337-8,,Circular 19 de 2023
20056337-3,,Circular 19 de 2023
20056337-4,,Circular 19 de 2023
20056337-9,,Circular 19 de 2023
20056337-1,,Circular 19 de 2023
20056337-6,,Circular 19 de 2023
20056337-5,,Circular 19 de 2023
20056337-7,,Circular 19 de 2023
19990851-1,,Circular 19 de 2023
19990851-6,,Circular 19 de 2023
19990851-10,,Circular 19 de 2023
19990851-2,,Circular 19 de 2023
19990851-7,,Circular 19 de 2023
19990851-8,,Circular 19 de 2023
19990851-3,,Circular 19 de 2023
19990851-4,,Circular 19 de 2023
19990851-9,,Circular 19 de 2023
19990851-5,,Circular 19 de 2023
228189-2,,Circular 19 de 2023
20011362-1,,Circular 19 de 2023
20011362-4,,Circular 19 de 2023
20011362-3,,Circular 19 de 2023
20011362-6,,Circular 19 de 2023
20011362-2,,Circular 19 de 2023
20011362-5,,Circular 19 de 2023
228189-1,,Circular 19 de 2023
20232785-1,,Circular 19 de 2023
20232785-2,,Circular 19 de 2023
51912-1,,Circular 19 de 2023
51912-2,,Circular 19 de 2023
19983100-1,,Circular 19 de 2023
19983100-3,,Circular 19 de 2023
19983100-5,,Circular 19 de 2023
19983100-2,,Circular 19 de 2023
19983100-4,,Circular 19 de 2023
19983100-6,,Circular 19 de 2023
20137853-2,,Circular 19 de 2023
20137853-1,,Circular 19 de 2023
20191740-1,,Circular 19 de 2023
20195119-1,,Circular 19 de 2023
20040898-1,,Circular 19 de 2023
20040898-4,,Circular 19 de 2023
20040898-2,,Circular 19 de 2023
20040898-5,,Circular 19 de 2023
20040898-3,,Circular 19 de 2023
20040898-6,,Circular 19 de 2023
20056956-4,,Circular 19 de 2023
20056956-2,,Circular 19 de 2023
20056956-3,,Circular 19 de 2023
20056956-1,,Circular 19 de 2023
20056956-5,,Circular 19 de 2023
20139305-1,,Circular 19 de 2023
20139305-7,,Circular 19 de 2023
20139305-5,,Circular 19 de 2023
20139305-6,,Circular 19 de 2023
20139305-2,,Circular 19 de 2023
20139305-3,,Circular 19 de 2023
20139305-4,,Circular 19 de 2023
20128791-1,,Circular 19 de 2023
20128791-7,,Circular 19 de 2023
20128791-5,,Circular 19 de 2023
20128791-6,,Circular 19 de 2023
20128791-2,,Circular 19 de 2023
20128791-3,,Circular 19 de 2023
20128791-4,,Circular 19 de 2023
20155916-1,,Circular 19 de 2023
20155907-1,,Circular 19 de 2023
20162360-1,,Circular 19 de 2023
20162360-2,,Circular 19 de 2023
20170471-1,,Circular 19 de 2023
20170471-2,,Circular 19 de 2023
20170471-3,,Circular 19 de 2023
20104307-1,,Circular 19 de 2023
20104307-6,,Circular 19 de 2023
20104307-4,,Circular 19 de 2023
20104307-9,,Circular 19 de 2023
20104307-2,,Circular 19 de 2023
20104307-7,,Circular 19 de 2023
20104307-10,,Circular 19 de 2023
20104307-5,,Circular 19 de 2023
20104307-3,,Circular 19 de 2023
20104307-8,,Circular 19 de 2023
20124004-1,,Circular 19 de 2023
20124004-12,,Circular 19 de 2023
20124004-6,,Circular 19 de 2023
20124004-7,,Circular 19 de 2023
20124004-10,,Circular 19 de 2023
20124004-15,,Circular 19 de 2023
20124004-4,,Circular 19 de 2023
20124004-13,,Circular 19 de 2023
20124004-2,,Circular 19 de 2023
20124004-8,,Circular 19 de 2023
20124004-11,,Circular 19 de 2023
20124004-16,,Circular 19 de 2023
20124004-5,,Circular 19 de 2023
20124004-14,,Circular 19 de 2023
20124004-3,,Circular 19 de 2023
20124004-9,,Circular 19 de 2023
19941492-2,,Circular 19 de 2023
19941492-1,,Circular 19 de 2023
19941859-1,,Circular 19 de 2023
19993859-1,,Circular 19 de 2023
19993859-7,,Circular 19 de 2023
19993859-8,,Circular 19 de 2023
19993859-6,,Circular 19 de 2023
19993859-2,,Circular 19 de 2023
19993859-4,,Circular 19 de 2023
19993859-3,,Circular 19 de 2023
19993859-5,,Circular 19 de 2023
19993858-1,,Circular 19 de 2023
19993858-7,,Circular 19 de 2023
19993858-8,,Circular 19 de 2023
19993858-6,,Circular 19 de 2023
19993858-2,,Circular 19 de 2023
19993858-4,,Circular 19 de 2023
19993858-3,,Circular 19 de 2023
19993858-5,,Circular 19 de 2023
19991804-1,,Circular 19 de 2023
19991805-1,,Circular 19 de 2023
19991805-4,,Circular 19 de 2023
19991805-6,,Circular 19 de 2023
19991805-3,,Circular 19 de 2023
19991805-5,,Circular 19 de 2023
19991805-2,,Circular 19 de 2023
19988981-1,,Circular 19 de 2023
19988981-2,,Circular 19 de 2023
19988981-3,,Circular 19 de 2023
19988981-4,,Circular 19 de 2023
19988981-5,,Circular 19 de 2023
19988981-6,,Circular 19 de 2023
19988981-10,,Circular 19 de 2023
19988981-7,,Circular 19 de 2023
19988981-8,,Circular 19 de 2023
19988981-9,,Circular 19 de 2023
19988982-1,,Circular 19 de 2023
19988982-5,,Circular 19 de 2023
19988982-2,,Circular 19 de 2023
19988982-6,,Circular 19 de 2023
19988982-3,,Circular 19 de 2023
19988982-7,,Circular 19 de 2023
19988982-4,,Circular 19 de 2023
19988982-8,,Circular 19 de 2023
19994222-2,,Circular 19 de 2023
19994222-1,,Circular 19 de 2023
19994222-3,,Circular 19 de 2023
19994222-4,,Circular 19 de 2023
19994218-2,,Circular 19 de 2023
19994218-1,,Circular 19 de 2023
19994218-3,,Circular 19 de 2023
19994218-4,,Circular 19 de 2023
19987360-2,,Circular 19 de 2023
19987360-1,,Circular 19 de 2023
19987360-3,,Circular 19 de 2023
19987360-4,,Circular 19 de 2023
19994223-2,,Circular 19 de 2023
19994223-1,,Circular 19 de 2023
19994223-3,,Circular 19 de 2023
19994223-4,,Circular 19 de 2023
20138927-10,,Circular 19 de 2023
20138927-15,,Circular 19 de 2023
20138927-2,,Circular 19 de 2023
20138927-20,,Circular 19 de 2023
20138927-6,,Circular 19 de 2023
20138927-11,,Circular 19 de 2023
20138927-14,,Circular 19 de 2023
20138927-21,,Circular 19 de 2023
20138927-3,,Circular 19 de 2023
20138927-7,,Circular 19 de 2023
20138927-13,,Circular 19 de 2023
20138927-16,,Circular 19 de 2023
20138927-18,,Circular 19 de 2023
20138927-4,,Circular 19 de 2023
20138927-8,,Circular 19 de 2023
20138927-17,,Circular 19 de 2023
20138927-19,,Circular 19 de 2023
20138927-5,,Circular 19 de 2023
20138927-9,,Circular 19 de 2023
20138927-22,,Circular 19 de 2023
20138927-23,,Circular 19 de 2023
20138927-1,,Circular 19 de 2023
20150034-2,,Circular 19 de 2023
20150034-6,,Circular 19 de 2023
20150034-3,,Circular 19 de 2023
20150034-7,,Circular 19 de 2023
20150034-4,,Circular 19 de 2023
20150034-8,,Circular 19 de 2023
20150034-5,,Circular 19 de 2023
20150034-1,,Circular 19 de 2023
20071588-16,,Circular 19 de 2023
20071588-3,,Circular 19 de 2023
20071588-12,,Circular 19 de 2023
20071588-2,,Circular 19 de 2023
20071588-17,,Circular 19 de 2023
20071588-14,,Circular 19 de 2023
20071588-4,,Circular 19 de 2023
20071588-13,,Circular 19 de 2023
20071588-5,,Circular 19 de 2023
20071588-6,,Circular 19 de 2023
20071588-7,,Circular 19 de 2023
20071588-8,,Circular 19 de 2023
20071588-1,,Circular 19 de 2023
20071588-15,,Circular 19 de 2023
20071588-9,,Circular 19 de 2023
20071588-10,,Circular 19 de 2023
20071588-11,,Circular 19 de 2023
20041642-9,,Circular 19 de 2023
20041642-16,,Circular 19 de 2023
20041642-2,,Circular 19 de 2023
20041642-12,,Circular 19 de 2023
20041642-3,,Circular 19 de 2023
20041642-14,,Circular 19 de 2023
20041642-4,,Circular 19 de 2023
20041642-13,,Circular 19 de 2023
20041642-5,,Circular 19 de 2023
20041642-6,,Circular 19 de 2023
20041642-7,,Circular 19 de 2023
20041642-8,,Circular 19 de 2023
20041642-1,,Circular 19 de 2023
20041642-15,,Circular 19 de 2023
20041642-10,,Circular 19 de 2023
20041642-11,,Circular 19 de 2023
20042532-16,,Circular 19 de 2023
20042532-2,,Circular 19 de 2023
20042532-12,,Circular 19 de 2023
20042532-3,,Circular 19 de 2023
20042532-14,,Circular 19 de 2023
20042532-4,,Circular 19 de 2023
20042532-13,,Circular 19 de 2023
20042532-5,,Circular 19 de 2023
20042532-6,,Circular 19 de 2023
20042532-7,,Circular 19 de 2023
20042532-8,,Circular 19 de 2023
20042532-1,,Circular 19 de 2023
20042532-15,,Circular 19 de 2023
20042532-9,,Circular 19 de 2023
20042532-10,,Circular 19 de 2023
20042532-11,,Circular 19 de 2023
20178194-2,,Circular 19 de 2023
20178194-1,,Circular 19 de 2023
19986771-6,,Circular 19 de 2023
19986771-3,,Circular 19 de 2023
19986771-7,,Circular 19 de 2023
19986771-4,,Circular 19 de 2023
19986771-5,,Circular 19 de 2023
19986771-8,,Circular 19 de 2023
19986771-1,,Circular 19 de 2023
19986771-2,,Circular 19 de 2023
19986772-6,,Circular 19 de 2023
19986772-3,,Circular 19 de 2023
19986772-7,,Circular 19 de 2023
19986772-4,,Circular 19 de 2023
19986772-5,,Circular 19 de 2023
19986772-1,,Circular 19 de 2023
19986772-8,,Circular 19 de 2023
19986772-2,,Circular 19 de 2023
