cum,precio_maximo_venta,circular_origen
20041743-01,2720735.0,Circular 19 de 2024
20041743-02,2720735.0,Circular 19 de 2024
20041743-03,2720735.0,Circular 19 de 2024
20041743-04,2720735.0,Circular 19 de 2024
19976227-01,1360367.5,Circular 19 de 2024
20169597-14,834868.2,Circular 19 de 2024
20169597-06,834868.2,Circular 19 de 2024
20169597-13,1669736.4,Circular 19 de 2024
20169597-05,1669736.4,Circular 19 de 2024
20169597-10,1669736.4,Circular 19 de 2024
20169597-12,1669736.4,Circular 19 de 2024
20169597-16,1669736.4,Circular 19 de 2024
20169597-02,1669736.4,Circular 19 de 2024
20169597-04,1669736.4,Circular 19 de 2024
20169597-08,1669736.4,Circular 19 de 2024
20169597-01,3339472.8,Circular 19 de 2024
20169597-11,3339472.8,Circular 19 de 2024
20169597-15,3339472.8,Circular 19 de 2024
20169597-03,3339472.8,Circular 19 de 2024
20169597-07,3339472.8,Circular 19 de 2024
20169597-09,3339472.8,Circular 19 de 2024
20137041-01,834868.2,Circular 19 de 2024
20149227-03,834868.2,Circular 19 de 2024
20149227-09,834868.2,Circular 19 de 2024
20149227-01,1669736.4,Circular 19 de 2024
20149227-02,1669736.4,Circular 19 de 2024
20149227-07,1669736.4,Circular 19 de 2024
20149227-08,1669736.4,Circular 19 de 2024
20149227-10,3339472.8,Circular 19 de 2024
20149227-04,3339472.8,Circular 19 de 2024
20149227-11,6678945.6,Circular 19 de 2024
20149227-05,6678945.6,Circular 19 de 2024
20149227-12,10018418.4,Circular 19 de 2024
20149227-06,10018418.4,Circular 19 de 2024
20108951-10,1669736.4,Circular 19 de 2024
20108951-09,1669736.4,Circular 19 de 2024
20108951-01,3339472.8,Circular 19 de 2024
20108951-02,3339472.8,Circular 19 de 2024
20108951-03,3339472.8,Circular 19 de 2024
20108951-04,3339472.8,Circular 19 de 2024
20108951-05,3339472.8,Circular 19 de 2024
20108951-06,3339472.8,Circular 19 de 2024
20108951-07,3339472.8,Circular 19 de 2024
20108951-08,3339472.8,Circular 19 de 2024
19939766-02,1669736.4,Circular 19 de 2024
19939766-03,1669736.4,Circular 19 de 2024
19939766-01,3339472.8,Circular 19 de 2024
19939766-04,3339472.8,Circular 19 de 2024
19939766-05,3339472.8,Circular 19 de 2024
19939766-06,3339472.8,Circular 19 de 2024
19939766-07,3339472.8,Circular 19 de 2024
19939766-08,3339472.8,Circular 19 de 2024
19939766-09,3339472.8,Circular 19 de 2024
20175556-02,1669736.4,Circular 19 de 2024
20175556-04,3339472.8,Circular 19 de 2024
20175556-05,3339472.8,Circular 19 de 2024
20175556-01,1669736.4,Circular 19 de 2024
20177223-10,1669736.4,Circular 19 de 2024
20177223-11,1669736.4,Circular 19 de 2024
20177223-13,1669736.4,Circular 19 de 2024
20177223-14,1669736.4,Circular 19 de 2024
20177223-06,1669736.4,Circular 19 de 2024
20177223-12,1669736.4,Circular 19 de 2024
20177223-15,1669736.4,Circular 19 de 2024
20177223-07,1669736.4,Circular 19 de 2024
20177223-08,1669736.4,Circular 19 de 2024
20177223-09,1669736.4,Circular 19 de 2024
20177223-02,3339472.8,Circular 19 de 2024
20177223-03,3339472.8,Circular 19 de 2024
20177223-04,10018418.4,Circular 19 de 2024
20177223-05,10018418.4,Circular 19 de 2024
20177223-01,1669736.4,Circular 19 de 2024
20178300-01,2087170.5,Circular 19 de 2024
20209185-01,1669736.4,Circular 19 de 2024
20209185-10,1669736.4,Circular 19 de 2024
20124772-03,231300.0,Circular 19 de 2024
20209185-06,1669736.4,Circular 19 de 2024
20209185-11,3339472.8,Circular 19 de 2024
20209185-02,3339472.8,Circular 19 de 2024
20209185-07,3339472.8,Circular 19 de 2024
20209185-12,6678945.6,Circular 19 de 2024
20209185-03,6678945.6,Circular 19 de 2024
20209185-08,6678945.6,Circular 19 de 2024
20209185-13,10018418.4,Circular 19 de 2024
20209185-04,10018418.4,Circular 19 de 2024
20209185-09,10018418.4,Circular 19 de 2024
20066634-02,1980325.2,Circular 19 de 2024
20066634-01,3960650.4,Circular 19 de 2024
20066634-03,7921300.8,Circular 19 de 2024
20093590-01,2970487.8,Circular 19 de 2024
20093590-02,5940975.6,Circular 19 de 2024
20093590-03,11881951.2,Circular 19 de 2024
20093591-01,3960650.4,Circular 19 de 2024
20093591-02,7921300.8,Circular 19 de 2024
20093591-03,15842601.6,Circular 19 de 2024
20093592-01,4950813.0,Circular 19 de 2024
20093592-02,9901626.0,Circular 19 de 2024
20093592-03,19803252.0,Circular 19 de 2024
20039088-01,3270627.63,Circular 19 de 2024
20039088-10,3270627.63,Circular 19 de 2024
20039088-03,3270627.63,Circular 19 de 2024
20039088-05,3270627.63,Circular 19 de 2024
20039088-07,3270627.63,Circular 19 de 2024
20039088-02,1941199.85,Circular 19 de 2024
20039088-04,1941199.85,Circular 19 de 2024
20039088-06,1941199.85,Circular 19 de 2024
20039088-08,1941199.85,Circular 19 de 2024
20039088-09,1941199.85,Circular 19 de 2024
20039088-11,2082378.03,Circular 19 de 2024
20039088-12,2082378.03,Circular 19 de 2024
20104104-01,103440.0,Circular 19 de 2024
20120093-04,6896.0,Circular 19 de 2024
20120093-05,17240.0,Circular 19 de 2024
20120093-02,6896.0,Circular 19 de 2024
20120093-01,103440.0,Circular 19 de 2024
20120093-03,17240.0,Circular 19 de 2024
20100055-01,48272.0,Circular 19 de 2024
20100055-02,96544.0,Circular 19 de 2024
20100055-03,103440.0,Circular 19 de 2024
20100055-04,6896.0,Circular 19 de 2024
20014920-10,344800.0,Circular 19 de 2024
20014920-08,344800.0,Circular 19 de 2024
20014920-02,48272.0,Circular 19 de 2024
20014920-03,96544.0,Circular 19 de 2024
20014920-04,144816.0,Circular 19 de 2024
20014920-05,193088.0,Circular 19 de 2024
20014920-01,24136.0,Circular 19 de 2024
20014920-11,24136.0,Circular 19 de 2024
20014920-09,24136.0,Circular 19 de 2024
20014920-06,289632.0,Circular 19 de 2024
20014920-07,337904.0,Circular 19 de 2024
20067976-01,28247149.8,Circular 19 de 2024
201941-01,13237.0,Circular 19 de 2024
19908750-02,13237.0,Circular 19 de 2024
19908750-04,13237.0,Circular 19 de 2024
19908750-03,39711.0,Circular 19 de 2024
19908750-05,39711.0,Circular 19 de 2024
19908750-01,6618.5,Circular 19 de 2024
20097020-01,739578.03,Circular 19 de 2024
20097020-03,739578.03,Circular 19 de 2024
20097020-02,1479156.06,Circular 19 de 2024
20097020-04,1479156.06,Circular 19 de 2024
20097020-05,739578.03,Circular 19 de 2024
20117604-01,739578.03,Circular 19 de 2024
20117604-03,739578.03,Circular 19 de 2024
20117604-02,1479156.06,Circular 19 de 2024
20117604-04,1479156.06,Circular 19 de 2024
16232-01,27147.8,Circular 19 de 2024
19954356-01,54295.6,Circular 19 de 2024
19954356-02,54295.6,Circular 19 de 2024
19954356-03,54295.6,Circular 19 de 2024
19954356-04,54295.6,Circular 19 de 2024
229585-01,13573.9,Circular 19 de 2024
19979978-01,231300.0,Circular 19 de 2024
20124772-04,231300.0,Circular 19 de 2024
20124772-01,2313000.0,Circular 19 de 2024
20124772-02,1156500.0,Circular 19 de 2024
19910741-01,1156500.0,Circular 19 de 2024
20028530-01,231300.0,Circular 19 de 2024
20028530-04,23130000.0,Circular 19 de 2024
20028530-02,5782500.0,Circular 19 de 2024
20028530-03,11565000.0,Circular 19 de 2024
20039895-01,46260.0,Circular 19 de 2024
20093133-12,9252.0,Circular 19 de 2024
27612-01,1156500.0,Circular 19 de 2024
20256489-01,1156500.0,Circular 19 de 2024
20007880-01,146207.72,Circular 19 de 2024
20007880-02,146207.72,Circular 19 de 2024
33103-01,3655193.0,Circular 19 de 2024
33103-02,3655193.0,Circular 19 de 2024
20194011-01,12885996.0,Circular 19 de 2024
20194009-01,6442998.0,Circular 19 de 2024
20187632-02,8590664.0,Circular 19 de 2024
20187632-03,12885996.0,Circular 19 de 2024
20187632-04,38657988.0,Circular 19 de 2024
20187632-01,4295332.0,Circular 19 de 2024
20187752-02,4295332.0,Circular 19 de 2024
20187752-03,6442998.0,Circular 19 de 2024
20187752-04,19328994.0,Circular 19 de 2024
20187752-01,2147666.0,Circular 19 de 2024
20135959-01,4295332.0,Circular 19 de 2024
20135959-07,4295332.0,Circular 19 de 2024
20135959-04,859066.4,Circular 19 de 2024
20135959-02,8590664.0,Circular 19 de 2024
