LABORATORIO,PROVEEDOR,CUM,DESCRIPCION,PRECIO,CUM2,IVA,PRINCIPIO ACTIVO,REGULADOS,reg invima
LAFRACOL,LAFRACOL,0,"ACIX POLVOSUSP600mg-42,9mg/5mLx100mL-ENT",58605,,,"AMOXICILINA BASE 12g; ACIDO CLAVULANICO 0,85800g",#N/D,
LAFRACOL,LAFRACOL,0,ACODEIN 325/30mg X 30 TAB-USO,210,,,ACETAMINOFEN 325 mg; CODEINA FOSFATO 30mg,#N/D,
LAFRACOL,LAFRACOL,0,"ALECRIX 0,25% SOL OFT EST x5mL-ENT",93598,,,ALCAFTADINA 2.5mg/mL,#N/D,
LAFRACOL,LAFRACOL,0,ALERCARE 2 mg/mL FCO x 10mL-ENT,72998,,,OLOPATADINA 2 mg/mL,#N/D,
LAFRACOL,LAFRACOL,0,"ALERCARE PLUS 0,7% FCO x5mL-ENT",76956,,,"OLOPATADINA BASE 7,0mg",#N/D,
LAFRACOL,LAFRACOL,0,ALERXY®1MG/ML SLNNASAL ESTERIL140DOS-ENT,84867,,,AZELASTINA CLORHIDRATO 1 mg/mL,#N/D,
LAFRACOL,LAFRACOL,0,ALODIL 25mg x 30 TAB-ENT,2886,,,AGOMELATINA 25 mg,#N/D,
LAFRACOL,LAFRACOL,0,AMDIPIN 5 mg x 30 TAB-ENT,5203,,,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO,#N/D,
LAFRACOL,LAFRACOL,0,AMDIPIN H 10/25 mg x 10 TAB-ENT,11023,,,AMLODIPINO BESILATO EQV. 10mg AMLODIPINO; HIDROCLOROTIAZIDA 25 mg,#N/D,
LAFRACOL,LAFRACOL,0,AMDIPIN H 5/12.5 mg x 10 TAB-ENT,7824,,,AMLODIPINO BESILATO EQV. 5 mg AMLODIPINO; HIDROCLOROTIAZIDA 12.5 mg,#N/D,
LAFRACOL,LAFRACOL,0,ANTISS D SOL ORAL x 60 mL-ENT,25896,,,LEVOCETIRIZINA DICLORHIDRATO 0.05g/100mL; FENILEFRINA CLORHIDRATO 0.100 g/100 mL,#N/D,
LAFRACOL,LAFRACOL,0,ANTISS JBE x 100 mL-ENT,16089,,,LEVOCETIRIZINA DICLORHIDRATO 0.05g/100mL,#N/D,
LAFRACOL,LAFRACOL,0,ATTENTHO 25 mg x 30 CAP-ENT,7756,,,ATOMOXETINA HCL EQV. A ATOMOXETINA 25 mg,#N/D,
LAFRACOL,LAFRACOL,0,ATTENTHO 40 mg x 30 CAP-ENT,12379,,,ATOMOXETINA HCL EQV. A ATOMOXETINA 40 mg,#N/D,
LAFRACOL,LAFRACOL,0,ATTENTHO 60 mg x 30 CAP-ENT,12148,,,ATOMOXETINA HCL EQV. A ATOMOXETINA 60 mg,#N/D,
LAFRACOL,LAFRACOL,0,BELLAFACE SUAVE 2/0.02 MG 28 TAB-ENT,474,,,DIENOGEST 2 mg; ETINILESTRADIOL 20 mcg,#N/D,
LAFRACOL,LAFRACOL,0,BELLAFACE x 21 TAB-ENT,632,,,DIENOGEST 2 mg; ETINILESTRADIOL 0.03 mg,#N/D,
LAFRACOL,LAFRACOL,0,BEMERIN FCO x120 ML,111245,,,"FUROATO DE MOMETASONA 0.1g/100 mL; ACIDO SALICILICO 1,5g/100mL",#N/D,
LAFRACOL,LAFRACOL,0,BEMERIN FCO x60 ML,91181,,,"FUROATO DE MOMETASONA 0.1g/100 mL; ACIDO SALICILICO 1,5g/100mL",#N/D,
LAFRACOL,LAFRACOL,0,BIOGAIA + VIT D FCO x 5mL,73209,,,LACTOBACILLUS REUTERI; VITAMINA D3,#N/D,
LAFRACOL,LAFRACOL,0,BIOGAIA FRASCO X 5ML,60222,,,N/A SUPLEMENTO DIETARIO,#N/D,
LAFRACOL,LAFRACOL,0,BIOGAIA FRASCO x10mL,97763,,,N/A SUPLEMENTO DIETARIO,#N/D,
LAFRACOL,LAFRACOL,0,BIOGAIA GTI x30 TAB,3497,,,LACTOBACILLUS REUTERI,#N/D,
LAFRACOL,LAFRACOL,0,BIOGAIA x 30 TAB MASTICABLES,2880,,,N/A SUPLEMENTO DIETARIO,#N/D,
LAFRACOL,LAFRACOL,0,BIOLAX GRANULADO 5 g x 12 SOB-ENT,3055,,,PSYLLIUM HUSK POLVO 70 g,#N/D,
