laboratorio,proveedor,cum,descripcion,precio,iva_pct,principio_activo,motivo
DIABETRICS HEALTHCARE S A S,CRUZ VERDE,,GLUCOQUICK LANCET ESTERIL T INST REF 500001470 CAJ X 30 GLUCOQUICK,,19.0,,precio_invalido|sin_cum
DIABETRICS HEALTHCARE S A S,CRUZ VERDE,,LANCETAS ESTERILES INST CAJ X 50 GLUCOQUICK,,0.0,,precio_invalido|sin_cum
PRODUCTOS ROCHE SA,CRUZ VERDE,,LANCETAS GLUCOSA INST CAJ X 100 ACCU-CHEK SOFTCLIX INST,,19.0,,precio_invalido|sin_cum
TECNOQUIMICAS,PHARMAPLUS,,PAÑAL CONTENT MEDICAL TALLA L,,19.0,PAÑAL PARA ADULTO,precio_invalido|sin_cum
TECNOQUIMICAS,PHARMAPLUS,,PAÑAL CONTENT ULTRASEC TALLA M,,19.0,PAÑALES PARA ADULTO,precio_invalido|sin_cum
ADIUM,PHARMAPLUS,19946206-04,GESLUTIN 200 MG CAJA,,0.0,PROGESTERONA,precio_invalido
ABBOTT DE COLOMBIA,PHARMAPLUS,,GUIAS HI-TORQUE SUPRA CORE,,19.0,N/A,precio_invalido|sin_cum
ABBOTT DE COLOMBIA,PHARMAPLUS,,STENT GRAFTMASTER RX3.50X19,,0.0,INJERTO DE ENDOPROTESIS CORONARIA,precio_invalido|sin_cum
ABBOTT DE COLOMBIA,PHARMAPLUS,,STENT GRAFTMASTER RX 2.80X26,,0.0,INJERTO DE ENDOPROTESIS CORONARIA,precio_invalido|sin_cum
LAFRANCOL,PHARMAPLUS,20177543-01,"STANIA 11/3,474mg ANILLO VAGINAL",,0.0,"ETONOGESTREL 11 MG ETINILESTRADIOL3,474 MG",precio_invalido
LAFRANCOL,PHARMAPLUS,20186253-02,RYTUZEQ 500mg/50mL x1 VIAL-USO,,0.0,RITUXIMAB 500 MG,precio_invalido
DIABETRICS,PHARMAPLUS,,SOLUCION CONTROL GDH MEDIO-FORA,,0.0,SOLUCION CONTROL GDH MEDIO-FORA,precio_invalido|sin_cum
DIABETRICS,PHARMAPLUS,,SOLUCION CONTROL GDH ALTO-FORA,,0.0,SOLUCION CONTROL GDH ALTO-FORA,precio_invalido|sin_cum
ROPSOHN THERAPEUTICS,PHARMAPLUS,39005-02,ROXICAINA POMADA 5%,,0.0,LIDOCAINA CLORHIDRATO 5%,precio_invalido
FLETES,PHARMAPLUS,,FLETE CARGA PESADA,,0.0,FLETE,precio_invalido|sin_cum
NESTLE NUTRICION,PHARMAPLUS,,KLIM 3+ PREBIO 3 DHA LCR 6X1KG CO,,0.0,KLIM SISTEMA,precio_invalido|sin_cum
LA SANTE,PHARMAPLUS,20106430-01,TEMITOMA140 Mg Cap X 5 Col,,0.0,TEMOZOLOMIDA,precio_invalido
EUROFARMA,PHARMAPLUS,20079038-02,PANTOPRAZOL 40MG 28CPR COL INST,,0.0,PANTOPRAZOL 40mg,precio_invalido
PHARMALAB,PHARMAPLUS,20136464-02,FULVESTRANT 250MG/5ML 2LISY HP CO,,0.0,FULVESTRANT 250MG/5ML 2LISY HP CO,precio_invalido
GENLAB SAS,PHARMAPLUS,20187322-04,LACOSAMIDA TABLETA RECUBIERTA 150 MG (LACOLEP),,0.0,LACOSAMIDA,precio_invalido
BOYDORR,PHARMAPLUS,,PROWHEY NEUMO SOBRE 87 G VAINILLA,,0.0,ALMIDON ALIMENTICIO,precio_invalido|sin_cum
BOYDORR,PHARMAPLUS,,PROWHEY BARIATRIC SOBRE * 51G,,0.0,ALMIDON ALIMENTICIO,precio_invalido|sin_cum
PHARMA PLUS,PHARMAPLUS,,OBSEQUIO,,0.0,N/A,precio_invalido|sin_cum
FLETES,PHARMAPLUS,,NEVERA GRANDE,,19.0,NA,precio_invalido|sin_cum
SOPHIA LABORATORIO,PHARMAPLUS,,GAFAS + ESTUCHE,,0.0,N/a,precio_invalido|sin_cum
LAFRANCOL,PHARMAPLUS,20093180-01,BRIA 42 MCG,,0.0,IPRATROPIO BROMURO 0.06 %,precio_invalido
NOVAMED,PHARMAPLUS,,PREPACK NOVABELLE + 10 SOBRES,,19.0,COLAGENO HIDROLIZADO,precio_invalido|sin_cum
MERCK S.A,PHARMAPLUS,19950133-02,"GONAL-F PEN 300 UI (22MCG)/0,5ML",,0.0,FOLITROPINA ALFA 300 UI EQUIVALENTES A 22 MCG,precio_invalido
MERCK S.A,PHARMAPLUS,19950134-02,"GONAL-F PEN 450 UI (33MCG)/0,75ML",,0.0,FOLITROPINA ALFA 450UI EQUIVALENTES A 33MCG,precio_invalido
MERCK S.A,PHARMAPLUS,19950135-02,"GONAL-F PEN 900 UI (66.9MCG)/1,5ML",,0.0,FOLITROPINA ALFA 900 UI/1.5 ML(66.69 MCG),precio_invalido
MERCK S.A,PHARMAPLUS,19946639-02,"OVIDREL F PEN 250MCG/0,5ML",,0.0,CORIOGONADOTROPINA ALFA,precio_invalido
FLETES,PHARMAPLUS,,FLETE ESPECIAL,,0.0,NA,precio_invalido|sin_cum
FLETES,PHARMAPLUS,,DOMICILIO BOGOTA,,0.0,NA,precio_invalido|sin_cum
FLETES,PHARMAPLUS,,DOMICILIO NACIONAL,,0.0,NA,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,FINURA TONICO,,19.0,NA,precio_invalido|sin_cum
CARMEN PATRICIA PARRA CORTES,PHARMAPLUS,,BOLSA LAFAM,,0.0,bolsas,precio_invalido|sin_cum
Protección Salud POS S.A.S..,PHARMAPLUS,,GAFAS LAFAM,,19.0,N/A,precio_invalido|sin_cum
FLETES,PHARMAPLUS,,FLETE ESPECIAL 2,,0.0,0,precio_invalido|sin_cum
LAFRANCOL,PHARMAPLUS,20177543-01,"STANIA 11/3,474mg ANILLO VAGINAL",,0.0,"ETONOGESTREL 11 MG ETINILESTRADIOL3,474 MG",precio_invalido
AXON PHARMA SAS,PHARMAPLUS,,MARIMER ASPIRADOR NASAL REPUESTO FILTRO,,19.0,N/A,precio_invalido|sin_cum
HUMAX,PHARMAPLUS,,SODIO CLORURO,,0.0,SODIO CLORURO AL 0.9% 10 ML+ JERINGA ALFA INS. 0.5 ML 30GX1/3+ JERINGA 5 ML 21 G X 1 1/2 X,precio_invalido|sin_cum
FLETES,PHARMAPLUS,,FLETE CARGA PESADA,,0.0,FLETE,precio_invalido|sin_cum
HUMAX,PHARMAPLUS,,CLORURO DE SODIO AL 0.9% AMP X 10 ML,,0.0,CLORURO DE SODIO AL 0.9% AMP X 10 ML,precio_invalido|sin_cum
PROCAPS CONSUMO,PHARMAPLUS,20004757-12,VITAMINA E 400 UI DOS FCOS,,0.0,D-ALFA TOCOFEROL ACETATO,precio_invalido
BIOPAS LABORATORIES,PHARMAPLUS,20098801-03,SATIVEX (27+25)MG/ML FCO X 10ML,,0.0,CANNABIDIOL (Cbd Bds),precio_invalido
CLOSTER DERMA,PHARMAPLUS,,AGUJAS MOD.PA-NDL9P32G1,,19.0,NA,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,KIT PARUL FCO X 45 CAP CJA X 2 FCO,,0.0,NA,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,KIT PROFITECH FCO X 55 CAP CJA X 2 FCO,,0.0,NA,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,KIT VIAYSA FCO DE 50 GRMS CJA X 2 FCO,,19.0,NA,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,KIT TESITURA EMUL FCO DE 50 GRMS CJA X 2 FCO,,19.0,NA,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,KIT SHAMPOO +FINURA TABLETA +TONICO PARUL,,19.0,NA,precio_invalido|sin_cum
TECNOQUIMICAS VISION,PHARMAPLUS,,PPACK MULTI PLUS 600+30ML+EST,,19.0,Solucion Isotónica esteril,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,KIT FINURA FCO X 60 TAB CAJ X 3 FCO,,19.0,NA,precio_invalido|sin_cum
ANTIOXIDANTECH,PHARMAPLUS,,KIT FERILIQ FCO DE 50 GRMS CJA X 2 FCO,,19.0,NA,precio_invalido|sin_cum
AXON PHARMA SAS,PHARMAPLUS,,A-CERUMEN UNIDOSIS,,0.0,TENSOACTIVOS SUAVES ORIGEN VEGETAL,precio_invalido|sin_cum
BIOHEALTHY SAS,PHARMAPLUS,,KIT BIOFOLIC LOCION LLEVA GRATIS CAPS 30 UNID,,19.0,N/A,precio_invalido|sin_cum
,DESCONOCIDO,,,,,,descripcion_vacia|precio_invalido|sin_cum
